key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
USERGRID-740,Bug,138,Closed,  PermissionsResourceIT.applicationPermissions:262 expected:<[noca]> but was:<[4peaks]>  PermissionsResourceIT.deleteUserGroup:157 null,After running Usergrid 2.0 for over 1 month on a tomcat we have saturated the inodes of the disk on the tomcat machine.  Our temporary files for uploads are not getting removed.  Files of this structure appear in {code} ls -lrt  /var/cache/tomcat7/temp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME377627531473294092.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME2634951521985073318.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1066361445384372180.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME3554741621747313255.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1805372544199883785.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME414525331725926400.tmp{code}We need to ensure that all temporary files are removed.  Note that all the files remaining are 0 bytes.  This seems to be caused by an edge case when a 0 byte file is uploaded or possibly the upload is failing.,5,2,3,1,0,George Reyes,Todd Nine,Todd Nine,4,0,1,1,1,0,0,0
USERGRID-563,Story,109,Closed, Ability for one Usergrid instance to delegate authentication to another ,Design forthcoming.,3,3,3,0,0,David Johnson,David Johnson,David Johnson,3,0,0,0,0,0,0,0
USERGRID-1053,Story,210,Closed, Audit TODOs in the code,We need to audit the TODO statements in the code.  For each we must:1) Check if there is an existing ticket- If there is no ticket create one2) Update the TODO statement with the link to the ticket3) Prioritize based on:- Will this generate a P1 case with a customer?- What is the usability impact of the product?Once we have audited these we will prioritize and schedule fixes,5,2,1,0,0,Todd Nine,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-515,Bug,109,Closed, Creating collections in the portal throws an error,"The '+' button to create a collection in the UI does not work.  In Chrome dev tools it looks like it is doing a PUT to this URL: https://{host}/{org}/{app}/?access_token={token} with this request data: {""metadata"":{""collections"":{""foo"":{}}}}And the response looks like this:duration: 6error: ""entity_not_found""error_description: ""Cannot restore. Deleted Application not found: 5ab1ef5c-7f4c-11e4-9bb8-0ad113d917ad""exception: ""org.apache.usergrid.persistence.exceptions.EntityNotFoundException""timestamp: 1427291983254Open tickets to do the fixes as necessary",1,3,3,0,0,ryan bridges,Jeffrey West,Jeffrey West,4,0,0,0,0,0,0,0
USERGRID-551,Bug,109,Open, Cross-collection / graph filtering does not work,REST calls of this nature do not work: GET /pets;ql=select * where type='cat'/belongsTo/owners;ql=select * where city='Dallas',5,3,1,0,0,null,Jeffrey West,Jeffrey West,0,0,0,0,0,0,0,0
USERGRID-544,Story,109,Closed, Deadletter - Figure out why some entities are having indexing problems,we have some entities that are having indexing issues with 6011 at this time in a dead letter queue.  we need to understand why these are having indexing issues.,3,4,1,1,0,null,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-1074,Story,186,Closed, Evaluate read repair of unique values in 1.0,null,1,3,2,1,0,George Reyes,Todd Nine,Todd Nine,1,0,0,0,0,0,0,0
USERGRID-832,Story,218,Closed, Investigate and propose 2-3 approaches for indexing specific attributes of documents,Please investigate and propose a few different options for explicit indexing.Things to consider:1) How other databases handle this2) Ability to index all occurrences of a given field name - for example index 'cat' whether it is a root property pets.cat owners.cat etc.,5,2,2,1,1,George Reyes,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-832,Story,221,Closed, Investigate geo location re-index failure,Please investigate and propose a few different options for explicit indexing.Things to consider:1) How other databases handle this2) Ability to index all occurrences of a given field name - for example index 'cat' whether it is a root property pets.cat owners.cat etc.,5,2,2,1,1,George Reyes,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-832,Story,224,Closed, Investigate support for Central Usergrid SSO in the Portal,Please investigate and propose a few different options for explicit indexing.Things to consider:1) How other databases handle this2) Ability to index all occurrences of a given field name - for example index 'cat' whether it is a root property pets.cat owners.cat etc.,5,2,2,1,1,George Reyes,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
