"TaskNumber","Priority","StatusCode","ProjectCode","SubCategory","#Developers","TaskPerformance","DeveloperPerformance","HoursEstimate","HoursLogged"
"1735","1","FINISHED","PC2","Enhancement","1","12.25","12.25","14","1.75"
"1742","1","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2134","5","FINISHED","PC2","Bug","1","0","0","0.7","0.7"
"2251","10","FINISHED","PC2","Bug","1","0","0","3.5","3.5"
"2283","1","FINISHED","PC9","Enhancement","1","0","0","7","7"
"2400","5","FINISHED","PC2","Bug","1","0","NA","7","7"
"2451","5","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2475","6","FINISHED","PC2","Enhancement","1","0","0","1.4","1.4"
"2499","5","FINISHED","PC9","Enhancement","1","0","0","1.75","1.75"
"2502","2","FINISHED","PC2","Enhancement","1","12.25","12.25","14","1.75"
"2546","1","FINISHED","PC2","Enhancement","1","0","0","14","14"
"2548","3","FINISHED","PC2","Enhancement","1","-3.5","-3.5","14","17.5"
"2549","1","FINISHED","PC2","Bug","1","7","7","14","7"
"2550","1","FINISHED","PC2","Bug","1","0","0","7","7"
"2551","8","FINISHED","PC11","Bug","1","1.4","1.4","1.75","0.35"
"2552","2","FINISHED","PC2","Enhancement","1","0","0","70","70"
"2554","3","FINISHED","PC2","Bug","1","3.5","3.5","7","3.5"
"2555","3","FINISHED","PC2","Enhancement","1","1.05","1.05","1.75","0.7"
"2558","5","FINISHED","PC17","Bug","1","0","0","7","7"
"2561","2","FINISHED","PC2","Bug","1","0","0","7","7"
"2563","2","FINISHED","PC9","Bug","1","0","0","1.75","1.75"
"2564","2","FINISHED","PC9","Bug","1","2.8","2.8","3.5","0.7"
"2566","3","FINISHED","PC2","Bug","1","0","0","1.75","1.75"
"2569","2","FINISHED","PC2","Enhancement","1","-1.75","-1.75","10.5","12.25"
"2570","1","FINISHED","PC2","Enhancement","1","0","0","0.7","0.7"
"2571","1","FINISHED","PC2","Enhancement","1","-77","-77","28","105"
"2581","5","FINISHED","PC2","Bug","1","0","0","14","14"
"2583","3","FINISHED","PC2","Enhancement","1","0","0","0.7","0.7"
"2585","1","FINISHED","PC2","Enhancement","1","-14","-14","14","28"
"2586","2","FINISHED","PC2","Enhancement","1","1.75","1.75","3.5","1.75"
"2589","5","FINISHED","PC9","Enhancement","1","-1.75","-1.75","1.75","3.5"
"2597","3","FINISHED","PC11","Enhancement","1","0","0","2.1","2.1"
"2599","8","FINISHED","PC9","Bug","1","0","0","1.4","1.4"
"2602","5","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2603","10","FINISHED","PC9","Enhancement","1","0","0","7","7"
"2604","2","FINISHED","PC2","Enhancement","1","0","0","28","28"
"2606","2","FINISHED","PC2","Bug","1","0","0","7","7"
"2607","1","FINISHED","PC2","Bug","1","0","0","3.5","3.5"
"2608","1","FINISHED","PC2","Bug","1","0","0","2.1","2.1"
"2610","1","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2617","1","FINISHED","PC2","Bug","1","0","0","1.75","1.75"
"2620","5","FINISHED","PC2","Bug","1","5.25","5.25","7","1.75"
"2623","5","RELEASED","PC9","Enhancement","1","0","0","7","7"
"2626","2","FINISHED","PC2","Bug","1","5.25","5.25","7","1.75"
"2627","1","FINISHED","PC2","Bug","1","3.5","3.5","7","3.5"
"2633","2","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2637","2","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2638","4","FINISHED","PC2","Bug","1","8.75","8.75","14","5.25"
"2639","1","FINISHED","PC2","Bug","1","5.95","5.95","7","1.05"
"2640","4","FINISHED","PC2","Bug","1","6.3","6.3","7","0.7"
"2641","3","FINISHED","PC2","Bug","1","5.25","5.25","7","1.75"
"2643","2","FINISHED","PC2","Bug","1","0","0","0.7","0.7"
"2644","5","FINISHED","PC2","Bug","1","2.8","2.8","3.5","0.7"
"2648","5","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2651","1","FINISHED","PC2","Bug","1","0","0","1.75","1.75"
"2652","3","FINISHED","PC9","Enhancement","1","-14","-14","7","21"
"2653","2","FINISHED","PC2","Enhancement","1","-14","-14","7","21"
"2654","2","FINISHED","PC2","Enhancement","1","2.1","2.1","3.5","1.4"
"2655","1","FINISHED","PC2","Bug","1","5.25","5.25","7","1.75"
"2659","3","FINISHED","PC9","Enhancement","1","0.7","0.7","1.4","0.7"
"2660","4","FINISHED","PC9","Enhancement","1","0","0","7","7"
"2662","9","RELEASED","PC2","Enhancement","1","4.2","4.2","7","2.8"
"2664","1","FINISHED","PC9","Enhancement","1","0","0","14","14"
"2665","1","FINISHED","PC2","Enhancement","1","0","0","70","70"
"2666","4","FINISHED","PC2","Enhancement","1","21","21","35","14"
"2667","3","FINISHED","PC2","Bug","1","10.5","10.5","14","3.5"
