Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
13728,1,10,PC10,Enhancement,1,6.47,6.47,28,21.53,6.47,4.568965517
3530,1,9,PC9,Bug,1,6.46,6.46,7,0.54,6.46,1.853448276
6163,1,9,PC9,Release,1,-6.45,-3.95,2,8.45,6.45,1.206896552
6163,1,9,PC9,Release,1,-6.45,NA,2,8.45,6.45,1.206896552
11241,1,9,PC9,Enhancement,1,-6.38,-5.68,70,76.38,6.38,10
11241,1,9,PC9,Enhancement,1,-6.38,NA,70,76.38,6.38,10
11658,1,6,PC6,Enhancement,1,6.34,6.34,28,21.66,6.34,4.568965517
2640,4,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
2936,2,2,PC2,Enhancement,1,6.3,6.3,7,0.7,6.3,1.853448276
2947,1,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3030,1,2,PC2,Enhancement,1,6.3,6.3,7,0.7,6.3,1.853448276
3043,4,9,PC9,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3072,5,9,PC9,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3117,4,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3203,3,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3218,1,2,PC2,Enhancement,1,6.3,6.3,7,0.7,6.3,1.853448276
3332,2,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3338,1,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
3339,2,2,PC2,Bug,1,6.3,6.3,7,0.7,6.3,1.853448276
4977,3,2,PC2,Enhancement,1,-6.25,-6.25,1,7.25,6.25,1.077586207
5609,1,9,PC9,Testing,1,-6.25,-4,35,41.25,6.25,5.474137931
5609,1,9,PC9,Testing,1,-6.25,NA,35,41.25,6.25,5.474137931
6385,7,2,PC2,Bug,1,6.25,6.25,7,0.75,6.25,1.853448276
6497,1,9,PC9,Enhancement,1,6.25,6.25,17,10.75,6.25,3.146551724
7931,1,9,PC9,Enhancement,1,-6.25,NA,2,8.25,6.25,1.206896552
7931,1,9,PC9,Enhancement,1,-6.25,-2,2,8.25,6.25,1.206896552
8329,1,2,PC2,Bug,1,-6.25,NA,3,9.25,6.25,1.336206897
8329,1,2,PC2,Bug,1,-6.25,-1.25,3,9.25,6.25,1.336206897
8329,1,2,PC2,Bug,1,-6.25,NA,3,9.25,6.25,1.336206897
8474,1,9,PC9,Bug,1,6.25,8.5,28,21.75,6.25,4.568965517
8474,1,9,PC9,Bug,1,6.25,NA,28,21.75,6.25,4.568965517
8746,1,9,PC9,Enhancement,1,-6.25,-6.25,7,13.25,6.25,1.853448276
10987,1,14,PC14,Enhancement,1,-6.25,-6.25,70,76.25,6.25,10
9508,1,4,PC4,Enhancement,1,6.12,NA,7,0.88,6.12,1.853448276
3155,3,2,PC2,Bug,1,6,6,7,1,6,1.853448276
3734,4,17,PC17,Enhancement,1,-6,-6,35,41,6,5.474137931
3806,1,2,PC2,Enhancement,1,-6,-6,7,13,6,1.853448276
4746,1,17,PC17,Enhancement,1,6,6,14,8,6,2.75862069
4870,1,2,PC2,Release,1,6,6,14,8,6,2.75862069
4895,5,2,PC2,Enhancement,1,6,6,21,15,6,3.663793103
4985,2,2,PC2,Enhancement,1,6,6,7,1,6,1.853448276
