TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
1735,Flag RI on SCM Message Summary screen using metadata RI application rules,1,58,58,6,FINISHED,PC2,PBC42,Development,Enhancement,14,1.75,58,1.75,12.25,12.25
1742,Allow RI Policies to be marked as Exhausted,1,58,42,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,42,7,0,0
2134,New rows in the diary event for the SCM are read only.,5,50,42,6,FINISHED,PC2,PBC42,Development,Bug,0.7,0.7,42,0.7,0,0
2251,Application Screen Size - Need to set Min Size On Application Contoller.,10,46,13,6,FINISHED,PC2,PBC21,Development,Bug,3.5,3.5,13,3.5,0,0
2283,Remove Lloyds Specific Items From Node Type Enum In Technical Core,1,13,13,58,FINISHED,PC9,PBC11,Development,Enhancement,7,7,13,7,0,0
2400,RI Meta_Field Accesses/TabHiding Seem To Disappear On Conversion,5,13,13,6,FINISHED,PC2,PBC42,Development,Bug,7,7,43,7,0,NA
2451,Settlement Currency On Risk_SectionLimit Table Needs Investigating.,5,13,58,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,58,7,0,0
2475,Write self-tests for Period Close,6,13,13,6,FINISHED,PC2,PBC21,Development,Enhancement,1.4,1.4,13,1.4,0,0
2499,Seach control obj - sort order,5,1,26,58,FINISHED,PC9,PBC11,Development,Enhancement,1.75,1.75,26,1.75,0,0
2502,FAC/Treaty/Block Ind Required On Message Summary and Individual Detail Screens,2,4,58,6,FINISHED,PC2,PBC10,Development,Enhancement,14,1.75,58,1.75,12.25,12.25
2546,USM/SCM Message Loading For XXXX,1,58,13,6,FINISHED,PC2,PBC42,Development,Enhancement,14,14,13,14,0,0
2548,Hook Risk Validation And RI Validation Into Period Close Processing,3,58,42,6,FINISHED,PC2,PBC42,Development,Enhancement,14,17.5,42,17.5,-3.5,-3.5
2549,DataGrid goes black when you click in a child row,1,50,58,6,FINISHED,PC2,PBC21,Development,Bug,14,7,58,7,7,7
2550,Validation Error,1,50,50,6,FINISHED,PC2,PBC21,Development,Bug,7,7,50,7,0,0
2551,Task system date format still not quite right,8,26,26,58,FINISHED,PC11,PBC65,Development,Bug,1.75,0.35,26,0.35,1.4,1.4
2552,Conversion Script for XXXX database,2,26,26,6,FINISHED,PC2,PBC75,Development,Enhancement,70,70,26,70,0,0
2554,USM/SCM Message Transaction Search,3,13,13,6,FINISHED,PC2,PBC21,Development,Bug,7,3.5,13,3.5,3.5,3.5
2555,Add a system option to control deletion of de-linked items during USM Validation,3,58,26,6,FINISHED,PC2,PBC21,Development,Enhancement,1.75,0.7,26,0.7,1.05,1.05
2558,Event splits,5,1,58,6,FINISHED,PC17,PBC42,Development,Bug,7,7,58,7,0,0
2561,Search On Event Code,2,4,13,6,FINISHED,PC2,PBC10,Development,Bug,7,7,13,7,0,0
2563,Validation Error Navigation Filtering Fails,2,13,26,58,FINISHED,PC9,PBC11,Development,Bug,1.75,1.75,26,1.75,0,0
2564,Validation Error Navigation Switches Forms,2,26,26,58,FINISHED,PC9,PBC11,Development,Bug,3.5,0.7,26,0.7,2.8,2.8
2566,Crash On Period Close When No Rows Already In REF_PeriodClose,3,26,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,1.75,26,1.75,0,0
2569,XXXX ROE Discrepancy Report,2,6,26,6,FINISHED,PC2,PBC42,Development,Enhancement,10.5,12.25,26,12.25,-1.75,-1.75
2570,Migrate recent changes to all databases,1,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,0.7,0.7,26,0.7,0,0
2571,Splits should be able to be entered on the Combined Syndicate,1,58,50,6,FINISHED,PC2,PBC21,Development,Enhancement,28,105,50,105,-77,-77
2581,Export Message Box 'Open File' Appears Behind Current Application,5,37,42,6,FINISHED,PC2,PBC21,Development,Bug,14,14,42,14,0,0
2583,Add Diary event for when Risk or RI is actually deleted,3,42,42,6,FINISHED,PC2,PBC42,Development,Enhancement,0.7,0.7,42,0.7,0,0
2585,XXXX Triangulation,1,6,26,6,FINISHED,PC2,PBC53,Development,Enhancement,14,28,26,28,-14,-14
2586,Import SCM exchange rate data into REF_CurrencyExcchangeRateHistory,2,58,26,6,FINISHED,PC2,PBC42,Development,Enhancement,3.5,1.75,26,1.75,1.75,1.75
2589,Restrict Grid Export Types,5,26,26,58,FINISHED,PC9,PBC11,Development,Enhancement,1.75,3.5,26,3.5,-1.75,-1.75
2597,Add a business rule for IdealProgrammingDaysEstimate so that it remains madatory until a value above 0 is entered,3,58,42,58,FINISHED,PC11,PBC65,Development,Enhancement,2.1,2.1,42,2.1,0,0
2599,Search Form crashes when a search criteria is accepted without a search value,8,42,26,58,FINISHED,PC9,PBC11,Development,Bug,1.4,1.4,26,1.4,0,0
2602,Claim Movement Report - Manual Block Overrides,5,1,58,6,FINISHED,PC2,PBC42,Development,Enhancement,7,7,58,7,0,0
2603,periods in META_FilterSeasrchFields.UserFieldName,10,1,1,58,FINISHED,PC9,PBC11,Development,Enhancement,7,7,1,7,0,0
2604,XXXX Triangulation Report,2,16,26,6,FINISHED,PC2,PBC53,Development,Enhancement,28,28,26,28,0,0
2606,New Event Can Only Be Used With An SCM Line After A Restart Of SCMS,2,13,42,6,FINISHED,PC2,PBC10,Development,Bug,7,7,42,7,0,0
2607,SCM Message Detail - Search On Message For SCM Transaction Returns No Results,1,13,58,6,FINISHED,PC2,PBC42,Development,Bug,3.5,3.5,58,3.5,0,0
2608,SCM Super User UW Ref Correction Does Not Allow To Populate/Correct All UW Ref,1,13,42,6,FINISHED,PC2,PBC21,Development,Bug,2.1,2.1,42,2.1,0,0
2610,Add parameter to XLsior export for aviation data only,1,6,26,6,FINISHED,PC2,PBC53,Development,Enhancement,7,7,26,7,0,0
2617,Statistical Figures Books fail with an SQL syntax error,1,26,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,1.75,26,1.75,0,0
2620,Search Control Object,5,1,26,6,FINISHED,PC2,PBC21,Development,Bug,7,1.75,26,1.75,5.25,5.25
2623,Search Control Object - Default Value Based on SQL Sqery,5,1,1,58,RELEASED,PC9,PBC11,Development,Enhancement,7,7,1,7,0,0
2626,Attempt to change Event on SCM Line causes fatal crash,2,26,58,6,FINISHED,PC2,PBC21,Development,Bug,7,1.75,58,1.75,5.25,5.25
2627,Attempt to view Event Tab on SCM causes fatal crash,1,26,58,6,FINISHED,PC2,PBC21,Development,Bug,7,3.5,58,3.5,3.5,3.5
2633,USM Reconcililation Requires IN Criteria for Syndicate Search Field,2,13,50,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,50,7,0,0
2637,Utility To Allow Multiple Syndicates To Run On Individual Machines Needs To Be Live,2,13,42,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,42,7,0,0
